epoch,class,threshold_id,threshold_value,auc,sens,spec,ppv,npv,alert_rate,ece,tp,fp,tn,fn
1,Atelectasis,19,0.42752211613039814,0.654,0.24393203883495115,0.86428157589803,0.17662565905096647,0.90546282245827,0.1472567287784679,0.3087519756894304,201,937,5967,623
1,Atelectasis,20,0.4284305784010118,0.654,0.21116504854368906,0.884704519119351,0.17938144329896888,0.9038176975436518,0.1255175983436853,0.3087519756894304,174,796,6108,650
1,Atelectasis,21,0.4293390406716254,0.654,0.16626213592232988,0.9020857473928157,0.16851168511685097,0.9006507592190888,0.10520186335403726,0.3087519756894304,137,676,6228,687
1,Atelectasis,22,0.43024750294223907,0.654,0.1347087378640775,0.919901506373117,0.16716867469879493,0.8990656851642128,0.08592132505175984,0.3087519756894304,111,553,6351,713
1,Atelectasis,23,0.4311559652128527,0.654,0.11407766990291247,0.9397450753186557,0.1843137254901957,0.8988639512330284,0.06599378881987578,0.3087519756894304,94,416,6488,730
1,Atelectasis,24,0.43206442748346635,0.654,0.08252427184466009,0.9527809965237543,0.1725888324873092,0.8969184619580037,0.05098343685300207,0.3087519756894304,68,326,6578,756
1,Atelectasis,25,0.43297288975408,0.654,0.058252427184465945,0.966685979142526,0.1726618705035965,0.8958389261744966,0.03597308488612837,0.3087519756894304,48,230,6674,776
1,Atelectasis,26,0.43388135202469363,0.654,0.031553398058252385,0.9759559675550404,0.13541666666666596,0.894108280254777,0.024844720496894408,0.3087519756894304,26,166,6738,798
1,Atelectasis,27,0.4347898142953073,0.654,0.024271844660194143,0.9843568945538816,0.15624999999999878,0.8942105263157893,0.016563146997929608,0.3087519756894304,20,108,6796,804
1,Atelectasis,28,0.4356982765659209,0.654,0.009708737864077659,0.9910196987253764,0.11428571428571266,0.8934447636458605,0.009057971014492754,0.3087519756894304,8,62,6842,816
1,Atelectasis,29,0.43660673883653456,0.654,0.007281553398058243,0.9950753186558515,0.14999999999999625,0.8936004162330904,0.005175983436853002,0.3087519756894304,6,34,6870,818
1,Atelectasis,30,0.4375152011071482,0.654,0.006067961165048536,0.9978273464658168,0.2499999999999875,0.8937467566165023,0.002587991718426501,0.3087519756894304,5,15,6889,819
1,Atelectasis,31,0.43842366337776184,0.654,0.006067961165048536,0.9992757821552721,0.49999999999995,0.8938844260171027,0.0012939958592132505,0.3087519756894304,5,5,6899,819
1,Cardiomegaly,0,0.36377018690109253,0.562,0.9074074074074032,0.2233759318423855,0.032504145936981754,0.9882214369846873,0.78027950310559,0.3418828547000885,196,5834,1678,20
1,Cardiomegaly,1,0.3645018377611714,0.562,0.8796296296296255,0.26038338658146964,0.03306648103028193,0.986881937436932,0.7435300207039337,0.3418828547000885,190,5556,1956,26
1,Cardiomegaly,2,0.36523348862125027,0.562,0.851851851851848,0.3000532481363152,0.03381109886071297,0.986001749781277,0.7041925465838509,0.3418828547000885,184,5258,2254,32
1,Cardiomegaly,3,0.36596513948132914,0.562,0.8240740740740703,0.3433173588924387,0.03482684406182743,0.9854795567443634,0.6613612836438924,0.3418828547000885,178,4933,2579,38
1,Cardiomegaly,4,0.366696790341408,0.562,0.8101851851851815,0.3831203407880724,0.03639010189228529,0.9859540938677627,0.6222826086956522,0.3418828547000885,175,4634,2878,41
1,Cardiomegaly,5,0.3674284412014869,0.562,0.7824074074074038,0.4230564430244941,0.037530535198756376,0.985426356589147,0.5826863354037267,0.3418828547000885,169,4334,3178,47
1,Cardiomegaly,6,0.36816009206156575,0.562,0.7592592592592557,0.4605963791267305,0.03889943074003794,0.9851936218678813,0.5455486542443064,0.3418828547000885,164,4052,3460,52
1,Cardiomegaly,7,0.3688917429216446,0.562,0.7314814814814781,0.49560702875399354,0.040030402837598164,0.9846601428193598,0.51074016563147,0.3418828547000885,158,3789,3723,58
1,Cardiomegaly,8,0.36962339378172354,0.562,0.685185185185182,0.5282215122470713,0.04008667388949078,0.9831516352824576,0.4777432712215321,0.3418828547000885,148,3544,3968,68
1,Cardiomegaly,9,0.3703550446418024,0.562,0.6342592592592563,0.5597710330138445,0.03977932636469221,0.9815592903828196,0.44565217391304346,0.3418828547000885,137,3307,4205,79
1,Cardiomegaly,10,0.3710866955018813,0.562,0.5879629629629602,0.5930511182108625,0.03988693467336682,0.980413732394366,0.41200828157349895,0.3418828547000885,127,3057,4455,89
1,Cardiomegaly,11,0.37181834636196015,0.562,0.555555555555553,0.6243343982960595,0.040788579197824595,0.9799414960300876,0.3806935817805383,0.3418828547000885,120,2822,4690,96
1,Cardiomegaly,12,0.372549997222039,0.562,0.509259259259257,0.6554845580404685,0.04077094143810228,0.9789264413518884,0.349120082815735,0.3418828547000885,110,2588,4924,106
1,Cardiomegaly,13,0.3732816480821179,0.562,0.47685185185184964,0.6863684771033013,0.04188694591297274,0.9785538052761433,0.3181935817805383,0.3418828547000885,103,2356,5156,113
1,Cardiomegaly,14,0.37401329894219676,0.562,0.4351851851851832,0.7123269435569755,0.041685144124168495,0.9777087520555452,0.29179606625258797,0.3418828547000885,94,2161,5351,122
1,Cardiomegaly,15,0.37474494980227563,0.562,0.4027777777777759,0.7422790202342917,0.04300543746910527,0.9773882559158631,0.2617753623188406,0.3418828547000885,87,1936,5576,129
1,Cardiomegaly,16,0.3754766006623545,0.562,0.3749999999999983,0.7681043663471777,0.044432254525507385,0.977138018628281,0.23589544513457558,0.3418828547000885,81,1742,5770,135
1,Cardiomegaly,17,0.37620825152243337,0.562,0.3333333333333318,0.7948615548455803,0.044637321760694335,0.9764513491414553,0.2087215320910973,0.3418828547000885,72,1541,5971,144
1,Cardiomegaly,18,0.37693990238251224,0.562,0.2870370370370357,0.8196219382321618,0.043754410726887766,0.9755981619394706,0.1833592132505176,0.3418828547000885,62,1355,6157,154
1,Cardiomegaly,19,0.3776715532425911,0.562,0.24074074074073964,0.8429179978700745,0.04220779220779217,0.9747536945812807,0.15942028985507245,0.3418828547000885,52,1180,6332,164
1,Cardiomegaly,20,0.37840320410267,0.562,0.2175925925925916,0.8640841320553779,0.04400749063670408,0.9746246246246245,0.13819875776397517,0.3418828547000885,47,1021,6491,169
1,Cardiomegaly,21,0.37913485496274885,0.562,0.17592592592592513,0.8840521831735888,0.04180418041804176,0.9738964657574423,0.11762422360248448,0.3418828547000885,38,871,6641,178
1,Cardiomegaly,22,0.3798665058228277,0.562,0.13425925925925863,0.9033546325878593,0.03841059602649002,0.9731822744873081,0.09769668737060042,0.3418828547000885,29,726,6786,187
1,Cardiomegaly,23,0.38059815668290664,0.562,0.11574074074074021,0.921059637912673,0.040453074433656894,0.9731364275668072,0.07996894409937888,0.3418828547000885,25,593,6919,191
1,Cardiomegaly,24,0.3813298075429855,0.562,0.08796296296296256,0.9380990415335462,0.039256198347107356,0.9728050800662617,0.06262939958592133,0.3418828547000885,19,465,7047,197
1,Cardiomegaly,25,0.3820614584030644,0.562,0.07870370370370335,0.9536741214057507,0.046575342465753296,0.9729729729729728,0.04723084886128364,0.3418828547000885,17,348,7164,199
1,Cardiomegaly,26,0.38279310926314325,0.562,0.04166666666666648,0.9651224707135249,0.03321033210332091,0.9722408475258145,0.03506728778467909,0.3418828547000885,9,262,7250,207
1,Cardiomegaly,27,0.3835247601232221,0.562,0.02777777777777765,0.974574014909478,0.030456852791878018,0.9721152569379895,0.025491718426501036,0.3418828547000885,6,191,7321,210
