epoch,tr_loss,tr_auc,tr_f1,val_loss,val_auc,val_f1,Atelectasis_auc,Cardiomegaly_auc,Consolidation_auc,Edema_auc,Effusion_auc,Emphysema_auc,Fibrosis_auc,Hernia_auc,Infiltration_auc,Mass_auc,No Finding_auc,Nodule_auc,Pleural_Thickening_auc,Pneumonia_auc,Pneumothorax_auc,Atelectasis_thresh,Cardiomegaly_thresh,Consolidation_thresh,Edema_thresh,Effusion_thresh,Emphysema_thresh,Fibrosis_thresh,Hernia_thresh,Infiltration_thresh,Mass_thresh,No Finding_thresh,Nodule_thresh,Pleural_Thickening_thresh,Pneumonia_thresh,Pneumothorax_thresh
1,0.23217371107355275,0.6047816721012982,0.04055974285836157,0.20224566816838735,0.6691650499426136,0.0,0.654,0.562,0.749,0.78,0.705,0.73,0.591,0.56,0.643,0.625,0.355,0.598,0.659,0.704,0.7
2,0.22473070888913418,0.679121146799565,0.19394276996229468,0.19370445609763892,0.7063054906971491,0.1374663273466975,0.696,0.593,0.758,0.821,0.755,0.766,0.689,0.667,0.661,0.668,0.722,0.615,0.697,0.717,0.747
3,0.22215186692947456,0.700682852370286,0.19208144303990102,0.19332820996781144,0.7219567954655817,0.14267211838678098,0.719,0.607,0.761,0.842,0.776,0.792,0.703,0.678,0.667,0.681,0.73,0.64,0.704,0.721,0.771
4,0.2233220767614479,0.6935035761050788,0.18212149388955604,0.19392371643664225,0.7311412391651392,0.13096612421339343,0.734,0.62,0.768,0.846,0.806,0.824,0.702,0.72,0.668,0.692,0.737,0.617,0.707,0.725,0.796
5,0.217892175517834,0.7413401381048749,0.20881752464897627,0.19003947994000403,0.75272175356076,0.15532644076809715,0.748,0.653,0.782,0.861,0.84,0.852,0.705,0.721,0.678,0.716,0.749,0.66,0.74,0.736,0.815
6,0.2156291357185336,0.7614366761046512,0.21377225180447984,0.1888417515722253,0.7691614186694081,0.15406330680115973,0.756,0.731,0.789,0.871,0.852,0.853,0.718,0.724,0.682,0.742,0.755,0.686,0.754,0.741,0.824
7,0.21413410862262736,0.7743082766947162,0.22196228755266234,0.18773946527037624,0.7819328120850545,0.15944040581093646,0.763,0.802,0.794,0.877,0.855,0.856,0.727,0.725,0.686,0.764,0.758,0.698,0.763,0.743,0.836
8,0.21197647097524627,0.7842646049788692,0.22558349921236662,0.18720775638819584,0.7912782799162736,0.16128434802384295,0.771,0.846,0.797,0.883,0.857,0.86,0.734,0.731,0.69,0.786,0.758,0.709,0.769,0.745,0.84
9,0.21086024296096423,0.7962363960577671,0.22525431653959038,0.18691348129967666,0.7968573186727554,0.16107545839522783,0.776,0.869,0.798,0.885,0.857,0.865,0.736,0.755,0.693,0.798,0.758,0.716,0.775,0.752,0.839
10,0.2091152615496116,0.805268364789562,0.23880335977238717,0.18594614089543998,0.8012115472823228,0.17574345813856124,0.785,0.877,0.798,0.89,0.859,0.869,0.742,0.766,0.694,0.806,0.759,0.72,0.78,0.753,0.844
11,0.20789620091039124,0.8133325505245824,0.23615933132124303,0.18583937205810988,0.8023455713736977,0.16656123299605088,0.789,0.88,0.8,0.89,0.858,0.87,0.746,0.761,0.698,0.807,0.758,0.714,0.781,0.752,0.846
12,0.20600829857418562,0.819601681054517,0.22543434796024808,0.18498647218926917,0.8059466740869049,0.16733822046571806,0.79,0.885,0.803,0.892,0.861,0.878,0.749,0.752,0.702,0.813,0.761,0.715,0.783,0.756,0.85
13,0.2044974535628525,0.8220905927397422,0.22854401697637966,0.1848147645152587,0.806036782659083,0.16922172775629452,0.791,0.888,0.801,0.89,0.86,0.886,0.742,0.764,0.704,0.816,0.76,0.715,0.78,0.754,0.85
14,0.19933057279546865,0.8459086159549913,0.2398976426581342,0.18451951943027736,0.8068615769549135,0.18203706518778695,0.792,0.894,0.8,0.886,0.861,0.889,0.741,0.765,0.706,0.816,0.76,0.709,0.784,0.756,0.855
15,0.19701102766948694,0.8534508828958774,0.23454495987055737,0.1845551745636599,0.8063486094405191,0.17997520140452308,0.793,0.891,0.799,0.883,0.861,0.893,0.741,0.756,0.707,0.816,0.759,0.703,0.786,0.751,0.86
16,0.19683159932367877,0.8537687155076279,0.22888465182009216,0.18462770130250622,0.8052333638790975,0.174176279405163,0.794,0.89,0.797,0.88,0.861,0.893,0.744,0.761,0.708,0.813,0.758,0.698,0.784,0.746,0.86
17,0.19587866618587493,0.8539128477110678,0.22553552744264968,0.18466657145466248,0.8043997351408597,0.17079173110386903,0.794,0.887,0.797,0.881,0.862,0.892,0.744,0.769,0.708,0.811,0.759,0.693,0.784,0.744,0.86
18,0.194951068589115,0.8610605975199412,0.2261846657157203,0.18465164995287064,0.8036683094707617,0.16894707086314367,0.795,0.886,0.797,0.879,0.862,0.89,0.746,0.764,0.708,0.809,0.759,0.69,0.783,0.743,0.86
19,0.19443103807891365,0.8607405268507806,0.22885310966090053,0.1847131011459743,0.8031436987037068,0.1711004965804934,0.795,0.886,0.797,0.879,0.861,0.891,0.746,0.764,0.708,0.807,0.758,0.687,0.78,0.744,0.86
20,0.1943005907076163,0.8579675715874273,0.22137397633414727,0.1847487190135097,0.802071540722355,0.16316958773507517,0.793,0.884,0.796,0.877,0.861,0.888,0.748,0.775,0.709,0.805,0.758,0.686,0.779,0.742,0.859
21,0.19294894273096,0.8624809932978363,0.22218547389886895,0.18478261487309547,0.8018726031201111,0.1640074671687042,0.794,0.883,0.796,0.877,0.861,0.891,0.748,0.768,0.708,0.802,0.758,0.685,0.78,0.74,0.859
22,0.19184328379932894,0.8672703963351589,0.22388650470805363,0.18478898909241373,0.8014823492565347,0.16622852991635303,0.795,0.88,0.797,0.873,0.862,0.89,0.748,0.786,0.709,0.804,0.759,0.683,0.779,0.74,0.859
