epoch,class,threshold,auc,sens,spec,ppv,npv,alert_rate,ece,tp,fp,tn,fn
2,Atelectasis,0.48789528012275696,0.702,0.8646820027063588,0.41149253731343277,0.13945875163683977,0.9649982499124953,0.6159430030918134,0.39528075721510986,,,,
2,Cardiomegaly,0.40660080313682556,0.643,0.9147727272727221,0.29684703290651243,0.030561883067577823,0.9930907415937352,0.7081596988842587,0.39452906309284336,,,,
2,Consolidation,0.438669890165329,0.747,0.9052631578947336,0.5301928990774392,0.07129041171594361,0.9929319371727746,0.48649011963973654,0.3993595064223205,,,,
2,Edema,0.40624332427978516,0.808,0.9473684210526254,0.6116371620694386,0.04841963685272359,0.998208286674132,0.3997849173275978,0.37753530245888756,,,,
2,Effusion,0.501291811466217,0.792,0.8666666666666656,0.5519265502709211,0.18794326241134748,0.9719056453750329,0.4928081731415513,0.389796662789741,,,,
2,Emphysema,0.4129945933818817,0.757,0.9415584415584355,0.410844200411805,0.0326797385620915,0.9970019986675547,0.5964511359053636,0.3982007981091838,,,,
2,Fibrosis,0.3937663733959198,0.712,0.963636363636355,0.2877609496520671,0.01990236575291025,0.9981069569332698,0.7159564457588385,0.39516579490272663,,,,
2,Hernia,0.37457290291786194,0.766,0.8181818181817438,0.6327409800753904,0.0032882718304713177,0.9995746490854953,0.36792579647802126,0.36991774141267675,,,,
2,Infiltration,0.434266597032547,0.647,0.9992447129909359,0.0035977105478331964,0.17839805825242716,0.9565217391303933,0.9969081865842183,0.3472939280832883,,,,
2,Mass,0.4183899760246277,0.647,0.9946236559139757,0.01881986698740625,0.05065717415115005,0.985185185185178,0.981852399516064,0.40622439104745683,,,,
2,No Finding,0.5261520743370056,0.72,0.8403237674760852,0.41879833432480656,0.636802973977695,0.6838271005342397,0.7232154859524129,0.07957881949476407,,,,
2,Nodule,0.424189031124115,0.598,0.9999999999999972,0.004384724186704384,0.04981101511879049,0.9999999999999678,0.9958327732222073,0.4136764637395761,,,,
2,Pleural_Thickening,0.42418259382247925,0.693,0.9111111111111071,0.30870529525921814,0.03948382126348227,0.9910992434356917,0.6979432719451539,0.4055091312879003,,,,
2,Pneumonia,0.3877253830432892,0.672,0.9425287356321731,0.27353101196953206,0.015120781855061771,0.9975198412698408,0.7289958327732222,0.3896229143207761,,,,
2,Pneumothorax,0.4366028606891632,0.761,0.9148351648351623,0.3912367491166077,0.07176724137931033,0.988924615934262,0.6237397499663934,0.39494215937323557,,,,
3,Atelectasis,0.48137858510017395,0.716,0.8403247631935036,0.47597014925373127,0.15029041626331072,0.9643181130934378,0.5554510014786934,0.3876303134185362,,,,
3,Cardiomegaly,0.40345582365989685,0.68,0.9261363636363584,0.2817017761255679,0.030297397769516725,0.993686255463817,0.7232154859524129,0.393814811299991,,,,
3,Consolidation,0.4260890781879425,0.755,0.9087719298245581,0.5164942689404528,0.06966110812264657,0.9930126310131683,0.4997983599946229,0.3972642421321789,,,,
3,Edema,0.40110158920288086,0.829,0.9539473684210464,0.6139700837107176,0.04901960784313724,0.9984378486944876,0.39763409060357574,0.3816170075444833,,,,
3,Effusion,0.479106068611145,0.808,0.8993710691823887,0.5425948223961469,0.190463505594033,0.9782903663500676,0.5046377201236726,0.37913917562929206,,,,
3,Emphysema,0.3940204083919525,0.798,0.9610389610389548,0.40466712422786544,0.03299888517279821,0.9979688557887607,0.6029036160774298,0.38467294631153043,,,,
3,Fibrosis,0.39278724789619446,0.718,0.9181818181818099,0.37249283667621774,0.021489361702127657,0.9967141292442494,0.631805350181476,0.38713528100305516,,,,
3,Hernia,0.37258169054985046,0.778,0.7272727272726611,0.7144588045234248,0.0037576326914044137,0.9994350282485874,0.2861943809651835,0.3657340109348297,,,,
3,Infiltration,0.4574824273586273,0.658,0.9916918429003014,0.02273098937040065,0.18013444916998214,0.9266666666666605,0.9798359994622933,0.3454123863306621,,,,
3,Mass,0.4383721947669983,0.67,0.8897849462365567,0.2783359275505872,0.060946418707420354,0.9795816733067725,0.7300712461352332,0.40171580129388296,,,,
3,No Finding,0.5164438486099243,0.728,0.8302673534461612,0.469363474122546,0.6548655445927645,0.6951541850220262,0.6948514585293722,0.09574414261856264,,,,
3,Nodule,0.43402740359306335,0.609,0.9837398373983712,0.09179632248939179,0.053508254716981125,0.990839694656487,0.9119505309853475,0.40966398773422197,,,,
3,Pleural_Thickening,0.4137214720249176,0.706,0.8933333333333294,0.3207651788189631,0.03940403842383845,0.9897348160821211,0.6857104449522785,0.39738853664980867,,,,
3,Pneumonia,0.38296759128570557,0.701,0.9540229885057362,0.25503264417845484,0.014928057553956832,0.9978712080894088,0.747412286597661,0.3868289850046276,,,,
3,Pneumothorax,0.43257611989974976,0.786,0.8159340659340636,0.6113074204946995,0.0974729241877256,0.9847449908925316,0.40959806425594836,0.3815352546261722,,,,
4,Atelectasis,0.46354731917381287,0.742,0.8849797023004047,0.42298507462686563,0.14469026548672564,0.9708804385063375,0.607608549536228,0.38371636032144746,,,,
4,Cardiomegaly,0.4078143239021301,0.69,0.8977272727272676,0.31171692138234885,0.030637967810742673,0.992112182296231,0.6932383384863557,0.3975505841757473,,,,
4,Consolidation,0.4370317757129669,0.77,0.8807017543859618,0.5820519988817444,0.07744523295279232,0.9919009051929488,0.4356768382847157,0.3981470217714708,,,,
4,Edema,0.3994215726852417,0.857,0.9605263157894673,0.6113627006998764,0.04902619207521825,0.9986550100874242,0.4003226240086033,0.3840829737084834,,,,
4,Effusion,0.47498568892478943,0.853,0.8955974842767284,0.5824804334738108,0.20424555364314395,0.9790032886415378,0.46861137249630325,0.3722679121173154,,,,
4,Emphysema,0.39319002628326416,0.832,0.935064935064929,0.5256005490734386,0.03999999999999999,0.9973951549882779,0.48393601290496036,0.3795392134606574,,,,
4,Fibrosis,0.40190574526786804,0.729,0.9090909090909008,0.4237958793832719,0.023132084200786485,0.9967907573812578,0.5811264954967066,0.39097836550757326,,,,
4,Hernia,0.3720296621322632,0.735,0.8181818181817438,0.5203284868066774,0.0025195968645016793,0.9994828032066199,0.48017206613792174,0.3692786408570012,,,,
4,Infiltration,0.4669298827648163,0.671,0.9712990936555884,0.07555192150449713,0.18532929816976507,0.9239999999999982,0.9327866648743111,0.34317140594687673,,,,
4,Mass,0.4341335594654083,0.709,0.9032258064516104,0.26644969576906746,0.06086956521739129,0.981240229286086,0.7420352197876059,0.4022272517001987,,,,
4,No Finding,0.5032470226287842,0.737,0.8643610497915132,0.419393218322427,0.643535427319211,0.7182883341823736,0.7361204462965453,0.1088000080757427,,,,
4,Nodule,0.4363696575164795,0.639,0.9430894308943063,0.13635077793493633,0.05392004958165478,0.9786802030456843,0.8675897298023928,0.4063283724079114,,,,
4,Pleural_Thickening,0.41632404923439026,0.737,0.8844444444444405,0.3519545328527862,0.04082888797702092,0.9898635477582842,0.6551955908052157,0.3984579461478853,,,,
4,Pneumonia,0.3957374393939972,0.719,0.8965517241379208,0.4445048966267682,0.018740989908697738,0.997253585596582,0.5594838015862347,0.39108366602642397,,,,
4,Pneumothorax,0.4091744124889374,0.804,0.9203296703296677,0.4554063604240282,0.07999044890162367,0.9910796677945245,0.5629788950127705,0.37512987923808017,,,,
