epoch,tr_loss,tr_auc,tr_f1,val_loss,val_auc,val_f1,val_thresh_sens,val_thresh_spec,val_thresh_ppv,val_thresh_npv,val_thresh_alert_rate,Atelectasis_auc,Cardiomegaly_auc,Consolidation_auc,Edema_auc,Effusion_auc,Emphysema_auc,Fibrosis_auc,Hernia_auc,Infiltration_auc,Mass_auc,No Finding_auc,Nodule_auc,Pleural_Thickening_auc,Pneumonia_auc,Pneumothorax_auc,Atelectasis_thresh,Cardiomegaly_thresh,Consolidation_thresh,Edema_thresh,Effusion_thresh,Emphysema_thresh,Fibrosis_thresh,Hernia_thresh,Infiltration_thresh,Mass_thresh,No Finding_thresh,Nodule_thresh,Pleural_Thickening_thresh,Pneumonia_thresh,Pneumothorax_thresh
1,0.14358567146838433,0.6100421732627899,0.12516067509469317,0.11731433508527438,0.6880445701267057,0.07514120437088775,0.0,0.0,0.0,0.0,0.0,0.676,0.65,0.744,0.792,0.769,0.703,0.707,0.72,0.637,0.622,0.705,0.587,0.671,0.667,0.719,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,0.13971834935960734,0.6654313896495321,0.19443925396540926,0.1160340791044386,0.7060768719114102,0.1462885725058103,0.9216531164619385,0.3435010669446077,0.10503902585518815,0.9679264127269375,0.6754671326791235,0.702,0.643,0.747,0.808,0.792,0.757,0.712,0.766,0.647,0.647,0.72,0.598,0.693,0.672,0.761,0.48789528012275696,0.40660080313682556,0.438669890165329,0.40624332427978516,0.501291811466217,0.4129945933818817,0.3937663733959198,0.37457290291786194,0.434266597032547,0.4183899760246277,0.5261520743370056,0.424189031124115,0.42418259382247925,0.3877253830432892,0.4366028606891632
3,0.13850747932282964,0.6860602926932753,0.19564419517687476,0.1155811218722669,0.7258159144870662,0.1440874159936327,0.8995879579003866,0.39811212152527786,0.10994917350077625,0.9657637641741722,0.6240713357530134,0.716,0.68,0.755,0.829,0.808,0.798,0.718,0.778,0.658,0.67,0.728,0.609,0.706,0.701,0.786,0.48137858510017395,0.40345582365989685,0.4260890781879425,0.40110158920288086,0.479106068611145,0.3940204083919525,0.39278724789619446,0.37258169054985046,0.4574824273586273,0.4383721947669983,0.5164438486099243,0.43402740359306335,0.4137214720249176,0.38296759128570557,0.43257611989974976
4,0.13654334405156818,0.7098107107043902,0.1996237450538759,0.11595311934627901,0.7501336529955531,0.13273444166844414,0.9043447607681633,0.40866222985083633,0.11032743734061835,0.9671084071976112,0.6137921763677914,0.742,0.69,0.77,0.857,0.853,0.832,0.729,0.735,0.671,0.709,0.737,0.639,0.737,0.719,0.804,0.46354731917381287,0.4078143239021301,0.4370317757129669,0.3994215726852417,0.47498568892478943,0.39319002628326416,0.40190574526786804,0.3720296621322632,0.4669298827648163,0.4341335594654083,0.5032470226287842,0.4363696575164795,0.41632404923439026,0.3957374393939972,0.4091744124889374
