_writer,class,threshold,auc,sens,spec,ppv,npv,alert_rate,ece,tp,fp,tn,fn
2,Fibrosis,0.40644651651382446,0.668,0.9090909090909008,0.3030979259648201,0.01848770567572564,0.9956877964639927,0.6999223602484472,0.397969487799991,,,,
2,Hernia,0.37486428022384644,0.639,0.9999999999999166,0.2764385692068429,0.0021447721179624663,0.9999999999999996,0.7239906832298136,0.3786418798917569,,,,
2,Infiltration,0.4684686064720154,0.649,0.9335199440167944,0.14605492935386566,0.19871890361984207,0.9064039408866986,0.8686594202898551,0.31536380477311327,,,,
2,Mass,0.433096319437027,0.642,0.9731903485254665,0.07695445275322908,0.050755033557046976,0.9826388888888872,0.9254658385093167,0.4055647027233373,,,,
2,No Finding,0.5115280151367188,0.691,0.822270322270322,0.4176470588235293,0.6218624954528919,0.6686098654708518,0.7114389233954451,0.0705418008423987,,,,
2,Nodule,0.4349488615989685,0.605,0.9999999999999976,0.014227086183310532,0.054826862539349416,0.9999999999999905,0.9865424430641822,0.4031549165638522,,,,
2,Pleural_Thickening,0.4197700023651123,0.68,0.9330357142857102,0.218683368869936,0.03442028985507246,0.9909420289855067,0.7857142857142857,0.4030792010489149,,,,
2,Pneumonia,0.3912053406238556,0.705,0.9479166666666569,0.2552410901467505,0.015757575757575755,0.9974398361495131,0.7472826086956522,0.39161353132554466,,,,
2,Pneumothorax,0.430558979511261,0.711,0.9281609195402272,0.3827913279132791,0.06621566215662156,0.9912280701754382,0.6312111801242236,0.39411884499231725,,,,
3,Atelectasis,0.45895516872406006,0.699,0.8652912621359212,0.4416280417149478,0.15608581436077054,0.9648734177215187,0.5910973084886129,0.36803686599522895,,,,
3,Cardiomegaly,0.39604055881500244,0.623,0.9259259259259217,0.31296592119275823,0.03730647267300876,0.9932403886776506,0.6937111801242236,0.3846595539532093,,,,
3,Consolidation,0.4256165623664856,0.755,0.9049079754601198,0.5335044582545257,0.07870864461045889,0.9922110552763816,0.4849896480331263,0.38853304344181194,,,,
3,Edema,0.3968988358974457,0.831,0.956249999999994,0.5992336152219873,0.048022598870056485,0.9984588287098193,0.41226708074534163,0.37665724875039075,,,,
3,Effusion,0.4665468633174896,0.767,0.9023569023569014,0.5088489103407927,0.19317635752042284,0.9756029164329779,0.5385610766045549,0.36422599108183973,,,,
3,Emphysema,0.39660850167274475,0.774,0.9337349397590305,0.49100766992859024,0.038711288711288705,0.9970461868958107,0.5181159420289855,0.38022349371071557,,,,
3,Fibrosis,0.38432592153549194,0.692,0.9454545454545369,0.23588868469414542,0.01755274261603375,0.9966722129783688,0.7666925465838509,0.3827280347114024,,,,
3,Hernia,0.3642108738422394,0.704,0.9166666666665902,0.48652151373768787,0.002768688648376541,0.9997336884154459,0.5141045548654244,0.3626106381416321,,,,
3,Infiltration,0.4670277237892151,0.659,0.9055283414975501,0.20939831719320523,0.2062480076506216,0.9071526822558453,0.8118530020703933,0.32637428616484004,,,,
3,Mass,0.4107671082019806,0.656,0.9705093833780134,0.09775662814411963,0.05172906544727064,0.9849315068493137,0.9055383022774327,0.3967209435559763,,,,
3,No Finding,0.5117003917694092,0.718,0.8395863395863394,0.4358543417366946,0.6341507720254314,0.6999550157444892,0.7123447204968945,0.07639672098137577,,,,
3,Nodule,0.42022284865379333,0.618,0.9999999999999976,0.020109439124487,0.05513784461152881,0.9999999999999932,0.9809782608695652,0.3961723917867703,,,,
3,Pleural_Thickening,0.400100976228714,0.697,0.9598214285714243,0.16737739872068227,0.03326628500696271,0.9928853754940704,0.8363095238095238,0.3942435075476858,,,,
3,Pneumonia,0.3822692036628723,0.711,0.9062499999999906,0.36045597484276726,0.01751207729468599,0.9967391304347822,0.6428571428571429,0.3822074648046839,,,,
3,Pneumothorax,0.41948267817497253,0.733,0.8620689655172389,0.5439024390243902,0.08183306055646479,0.988183161004431,0.47437888198757766,0.37906478771141594,,,,
