epoch,tr_loss,tr_auc,tr_f1,val_loss,val_auc,val_f1,val_thresh_sens,val_thresh_spec,val_thresh_ppv,val_thresh_npv,val_thresh_alert_rate,Atelectasis_auc,Cardiomegaly_auc,Consolidation_auc,Edema_auc,Effusion_auc,Emphysema_auc,Fibrosis_auc,Hernia_auc,Infiltration_auc,Mass_auc,No Finding_auc,Nodule_auc,Pleural_Thickening_auc,Pneumonia_auc,Pneumothorax_auc,Atelectasis_thresh,Cardiomegaly_thresh,Consolidation_thresh,Edema_thresh,Effusion_thresh,Emphysema_thresh,Fibrosis_thresh,Hernia_thresh,Infiltration_thresh,Mass_thresh,No Finding_thresh,Nodule_thresh,Pleural_Thickening_thresh,Pneumonia_thresh,Pneumothorax_thresh
1,0.15750988289146833,0.5915571778386829,0.11298527466474988,0.12858235298749232,0.6403021755479851,0.022014449638759034,0.9332889985117162,0.21862460937649678,0.09295689820386072,0.9171611682695017,0.7872412008281573,0.6,0.627,0.677,0.658,0.716,0.697,0.611,0.592,0.619,0.603,0.423,0.587,0.631,0.636,0.663,0.46991127729415894,0.44629353284835815,0.460024893283844,0.4492603540420532,0.4799017608165741,0.46114280819892883,0.4444069266319275,0.4308188259601593,0.4846409857273102,0.4607958495616913,0.4837183654308319,0.4613209366798401,0.4605204164981842,0.4465063214302063,0.46994706988334656
2,0.1536834266741255,0.6659007335065494,0.21322508294724854,0.12050663839674972,0.6932714036784552,0.13899852502024126,0.9212358793684879,0.33572623470997304,0.10829950284792893,0.9627786847900967,0.6841011042098,0.679,0.622,0.747,0.812,0.75,0.741,0.668,0.639,0.649,0.642,0.691,0.605,0.68,0.705,0.711,0.4669003486633301,0.40733397006988525,0.4273688495159149,0.4072316884994507,0.4672601819038391,0.422061026096344,0.40644651651382446,0.37486428022384644,0.4684686064720154,0.433096319437027,0.5115280151367188,0.4349488615989685,0.4197700023651123,0.3912053406238556,0.430558979511261
3,0.15232862832104124,0.6881290277689508,0.1980243942500298,0.11884215769927464,0.7087909342138996,0.13608059205142958,0.9196235117539715,0.36296355692478544,0.11014731470689215,0.9658457044593933,0.65891994478951,0.699,0.623,0.755,0.831,0.767,0.774,0.692,0.704,0.659,0.656,0.718,0.618,0.697,0.711,0.733,0.45895516872406006,0.39604055881500244,0.4256165623664856,0.3968988358974457,0.4665468633174896,0.39660850167274475,0.38432592153549194,0.3642108738422394,0.4670277237892151,0.4107671082019806,0.5117003917694092,0.42022284865379333,0.400100976228714,0.3822692036628723,0.41948267817497253
